time,flux
3610.559641531045,15423155.0
3610.5760771636187,15471362.0
3610.592281308763,15496278.0
3610.608716941801,15528375.0
3610.625152574375,15576608.0
3610.641356719519,15525020.0
3610.657792352558,15551244.0
3610.6742279855953,15534182.0
3610.6904321312063,15518403.0
3610.706867764244,15406547.0
3610.723303398215,15442733.0
3610.7395075442905,15411897.0
3610.7559431782606,15417965.0
3610.7723788131607,15325112.0
3610.788582960168,15342954.0
3610.805018595069,15348507.0
3610.821454230901,15320136.0
3610.837658379306,15267977.0
3610.8540940160697,15247025.0
3610.8705296528337,15278712.0
3610.8867338026344,15192372.0
3610.9031694407954,15197655.0
3610.919373591527,15195368.0
3610.9358092310854,15218106.0
3610.952244871109,15206242.0
3610.968449023239,15248113.0
3610.9848846646587,15318153.0
3611.00132030608,15330327.0
3611.0175244605366,15286476.0
3611.03396010382,15263906.0
3611.0503957475685,15231762.0
3611.0665999038897,15193636.0
3611.083035549035,15152858.0
3611.0994711946473,15155273.0
3611.1156753532955,15168467.0
3611.132111000303,15140742.0
3611.1485466482427,15148732.0
3612.224041171947,14820703.0
3612.2404768524843,14860634.0
3612.256912533951,14877682.0
3612.2731167265933,14887111.0
3612.28955240806,14957270.0
3612.3059880895275,14937039.0
3612.3221922831012,14966807.0
3612.3386279650344,15029265.0
3612.355063646968,15003407.0
3612.371267841006,15013039.0
3612.387703523406,15034167.0
3612.4041392062695,15098626.0
3612.420343400309,15032368.0
3612.4367790831734,15064724.0
3612.453214766037,15084511.0
3612.469418961008,15128507.0
3612.4858546438722,15141623.0
3612.502290327669,15123462.0
3612.5184945221727,15162555.0
3612.5349302059685,15229862.0
3612.551365889765,15195753.0
3612.5675700847337,15216242.0
3612.5840057685305,15264519.0
3612.600209963966,15326757.0
3612.6166456477627,15318890.0
3612.6330813315576,15350615.0
3612.6492855274596,15368706.0
3612.665721211256,15336756.0
3612.682156895516,15361926.0
3612.6983610909524,15375402.0
3612.714796775214,15368541.0
3612.731232459476,15372137.0
3612.7474366553784,15433004.0
3612.763872339639,15455082.0
3612.7803080239005,15468276.0
3612.796512219336,15420611.0
3612.8129479035974,15431129.0
3612.82938358786,15475333.0
3612.8455877837605,15441884.0
3612.862023468023,15468949.0
3612.878459152283,15475363.0
3612.8946633477194,15468286.0
3612.911099031981,15455011.0
3612.9275347162425,15482654.0
3612.943738911679,15454209.0
3612.9601745959394,15441346.0
3612.976610280202,15430419.0
3612.992814475638,15461564.0
3613.009250159433,15478583.0
3613.025685843229,15482229.0
3613.0418900386644,15516011.0
3613.058325722461,15504389.0
3613.0747614062575,15486206.0
3613.090965601227,15504197.0
3613.1074012850236,15562715.0
3613.123836968353,15519989.0
3613.1400411633235,15561136.0
3613.1564768466537,15431531.0
3613.172912529518,15431502.0
3613.189116724489,15370065.0
3613.205552407354,15272779.0
3613.2217566018576,15202284.0
3613.238192284723,15204469.0
3613.2546279671205,15139310.0
3613.270832161626,15115932.0
3613.287267844025,15075952.0
3613.303703526423,15030704.0
3613.319907719997,15022878.0
3613.336343402397,15025817.0
3613.3527790843295,15018537.0
3613.368983277903,15115119.0
3613.3854189593694,15115475.0
3613.401854641303,15221781.0
3613.4180588339455,15263475.0
3613.434494515412,15303363.0
3613.450930196415,15372242.0
3613.4671343890573,15448858.0
3613.4835700700582,15487762.0
3613.50000575106,15488646.0
3613.5162099427703,15498431.0
3613.5326456233074,15508773.0
3613.549081303844,15515989.0
3613.565285495554,15485073.0
3613.5817211751596,15521387.0
3613.59815685523,15526668.0
3613.614361046009,15554062.0
3613.630796725614,15499782.0
3613.647232404754,15533574.0
3613.6634365955324,15489684.0
3613.679872274207,15479014.0
3613.6963079533466,15533404.0
3613.712512143194,15486641.0
3613.728947821402,15527358.0
3613.74538349961,15512066.0
3613.7615876889918,15558410.0
3613.7780233672006,15538701.0
3613.794459044477,15512252.0
3613.8106632333934,15488010.0
3613.827098910671,15534886.0
3613.8433030991214,15493453.0
3613.8597387759323,15477249.0
3613.8761744522776,15515730.0
3613.8923786402625,15544549.0
3613.9088143166086,15514641.0
3613.9252499924887,15454678.0
3613.941454179542,15470917.0
3613.9578898549566,15521917.0
3613.9743255303706,15432533.0
3613.9905297169585,15440878.0
3614.0069653919068,15440621.0
3614.0234010663903,15473621.0
3614.039605252047,15467281.0
3614.05604092653,15410175.0
3614.0724766000812,15423751.0
3614.0886807852717,15400878.0
3614.1051164588234,15408213.0
3614.1215521319095,15417893.0
3614.1377563166357,15470274.0
3614.1541919892557,15399819.0
3614.1706276618766,15434038.0
3614.1868318456713,15369178.0
3614.2032675173587,15438524.0
3614.219703189048,15391245.0
3614.235907372377,15429603.0
3614.2523430431334,15300758.0
3614.2687787143573,15379846.0
3614.284982896755,15315783.0
3614.3014185670468,15265278.0
3614.3178542373385,15306914.0
3614.334058418805,15402143.0
3614.350494088164,15322348.0
3614.366929757525,15280543.0
3614.3831339385265,15279481.0
3614.3995696074203,15309838.0
3614.4160052758502,15358712.0
3614.4322094559197,15268719.0
3614.448645123883,15298741.0
3614.46508079138,15317445.0
3614.481284970518,15194739.0
3614.4977206380167,15232328.0
3614.513924816688,15287842.0
3614.530360483255,15259526.0
3614.5467961493564,15169298.0
3614.5630003270967,14982243.0
3614.5794359931974,14832194.0
3614.595871658367,14453851.0
3614.612075835643,14116753.0
3614.628511500346,13695300.0
3614.644947165051,13236364.0
3614.6611513409293,12716688.0
3614.677587005166,12012953.0
3614.694022668939,11256501.0
3614.7102268438866,10455679.0
3614.726662507194,9843596.0
3614.743098170034,9554154.0
3614.7593023445156,9616765.0
3614.7757380064263,10111062.0
3614.792173668335,10802896.0
3614.8083778418854,11582972.0
3614.8248135033296,12378799.0
3614.841249164309,12990568.0
3614.857453336927,13434705.0
3614.8738889969745,13884697.0
3614.890324657488,14295827.0
3614.906528828709,14570229.0
3614.9229644882903,14908926.0
3614.939400147406,15073112.0
3614.955604318163,15134780.0
3614.9720399768125,15186426.0
3614.988475634998,15179559.0
3615.004679804823,15196580.0
3615.021115462077,15180753.0
3615.037551119329,15137144.0
3615.0537552882224,15132415.0
3615.0701909450104,15235410.0
3615.086626601333,15258579.0
3615.102830768828,15192073.0
3615.119266424685,15313734.0
3615.135470591716,15236950.0
3615.151906246641,15260162.0
3615.168341901566,15227620.0
3615.1845460676655,15360562.0
3615.200981721659,15387722.0
3615.2174173751864,15349275.0
3615.233621540355,15347126.0
3615.2500571934183,15318400.0
3615.266492846015,15352933.0
3615.2826970102506,15297765.0
3615.299132662382,15432682.0
3615.3155683140476,15386306.0
3615.331772476888,15406020.0
3615.3482081280868,15356401.0
3615.364643778356,15362303.0
3615.3808479407303,15388724.0
3615.397283590533,15461408.0
3615.4137192403346,15470112.0
3615.429923401312,15210436.0
3615.446359050184,15367964.0
3615.4627946990563,15151344.0
3615.478998859101,15403740.0
3615.4954345065757,15413021.0
3615.5118701540505,15474476.0
3615.5280743131652,15493980.0
3615.5445099601743,15461498.0
3615.5609456067164,15389102.0
3615.5776127406893,15386324.0
3615.594048386301,15398746.0
3615.610484031447,15376257.0
3615.626688188698,15366541.0
3615.6431238329133,15376987.0
3615.659559477594,15293248.0
3615.6757636334496,15300360.0
3615.6921992767325,15329196.0
3615.708634920015,15388722.0
3615.7248390749396,15380561.0
3615.7412747172916,15290899.0
3615.7574788712845,15348291.0
3615.7739145131704,15415381.0
3615.790581642486,15322557.0
3615.806785795547,15383913.0
3615.8232214360364,15263202.0
3615.839657076061,15469637.0
3615.856092716084,15263520.0
3615.872991330965,15223617.0
3615.889426970058,15237337.0
3615.9056311212566,15331968.0
3615.9220667594186,15276803.0
3615.939659836584,15202693.0
